date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:36:42	146/146	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Jun%202024%2014:36:28%20GMT	https://web.archive.org/robots.txt		(from )
16:36:42	71474/71474	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Jun%202024%2014:36:28%20GMT	https://web.archive.org/web/20190228222916/https://tankisport.com/	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190228222916/https_/tankisport.com/index.html	(from )
16:36:43	31887/31887	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2019%20Jun%202024%2022:30:40%20GMT	https://web-static.archive.org/_static/js/bundle-playback.js?v=qM_6omlu	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web-static.archive.org/_static/js/bundle-playbackfd64.js	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:36:44	126763/126763	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2019%20Jun%202024%2022:27:59%20GMT	https://web-static.archive.org/_static/js/wombat.js?v=txqj7nKC	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web-static.archive.org/_static/js/wombat9b8c.js	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:37:51	394960/394960	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2019%20Jun%202024%2022:28:44%20GMT	https://web-static.archive.org/_static/js/ruffle/ruffle.js	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web-static.archive.org/_static/js/ruffle/ruffle.js	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:37:52	9867/9867	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Jun%202024%2022:29:05%20GMT	https://web-static.archive.org/_static/css/banner-styles.css?v=S1zqJCYt	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web-static.archive.org/_static/css/banner-styles52e6.css	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:37:53	5825/5825	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Jun%202024%2022:29:05%20GMT	https://web-static.archive.org/_static/css/iconochive.css?v=qtvMKcIJ	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web-static.archive.org/_static/css/iconochive8307.css	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:37:55	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2021%20Jun%202024%2014:37:41%20GMT	https://web.archive.org/web/20190228222916im_/https://tankisport.com/assets/v2/img/icons/apple-touch-icon-144x144.png	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190228222916im_/https_/tankisport.com/assets/v2/img/icons/apple-touch-icon-144x144.5.delayed	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:37:55	6439/6439	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jun%202024%2014:37:42%20GMT	https://web.archive.org/web/20190301110922im_/https://tankisport.com/assets/v2/img/icons/apple-touch-icon-144x144.png	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190301110922im_/https_/tankisport.com/assets/v2/img/icons/apple-touch-icon-144x144.png	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:37:56	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2021%20Jun%202024%2014:37:42%20GMT	https://web.archive.org/web/20190228222916im_/https://tankisport.com/assets/v2/img/icons/apple-touch-icon-152x152.png	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190228222916im_/https_/tankisport.com/assets/v2/img/icons/apple-touch-icon-152x152.png	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
